Lake Water Quality Report - 1950 to 2020,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Lake Name,County Name,Waterbody ID(WBIC),Region Code,County Code,Station Name,Station ID,Geo Region,Lake Type,,,,,,,,
8189805,9/25/1990,9,NO,2.7,,,45,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8189805,5/10/1991,17.5,NO,5.3,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8189805,5/17/1991,17.75,NO,5.4,,,36,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8189805,6/6/1991,18.75,NO,5.7,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8189805,6/17/1991,18,NO,5.5,,,35,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8189805,7/10/1991,15.25,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8189805,7/30/1991,15.25,NO,4.6,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8189805,8/18/1991,14.75,NO,4.5,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8189805,8/30/1991,13.25,NO,4,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8189805,9/19/1991,10.25,NO,3.1,,,44,,,LOW,,,BROWN,2-Very minor aesthetic problems,,
8189805,10/1/1991,11,NO,3.3,,,43,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8189805,10/9/1991,14,NO,4.3,,,39,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8189805,5/18/1992,14.75,NO,4.5,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8189805,5/26/1992,21,NO,6.4,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8189805,6/11/1992,28,NO,8.5,,,29,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8189805,6/28/1992,27,NO,8.2,,,30,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8189805,7/6/1992,22,NO,6.7,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8189805,7/24/1992,22.25,NO,6.8,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8189805,8/10/1992,21,NO,6.4,,,33,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8189805,9/25/1992,11,NO,3.3,,,43,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8189805,5/10/1993,11.25,NO,3.4,,,42,,,,,,BLUE/GREEN,2-Very minor aesthetic problems,,
8189805,5/25/1993,20.5,NO,6.2,,,34,,,COMING UP,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/8/1993,18.25,NO,5.5,,,35,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8189805,6/20/1993,20.5,NO,6.2,,,34,,,COMING UP,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8191103,6/22/1993,18,NO,5.5,,,35,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8191103,7/7/1993,17.5,NO,5.3,,,36,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8191103,7/20/1993,19.5,NO,5.9,,,34,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8189805,7/22/1993,21.25,NO,6.5,,,33,,,HIGH,,,,2-Very minor aesthetic problems,,
8191103,7/30/1993,22.25,NO,6.8,,,32,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8191103,8/7/1993,25.75,NO,7.8,,,30,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8189805,8/11/1993,25.5,NO,7.8,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,8/19/1993,22.5,NO,6.8,,,32,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8191103,8/29/1993,23.75,NO,7.2,,,31,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8191103,9/15/1993,17.75,NO,5.4,,,36,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8191103,10/12/1993,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,10/20/1993,16.75,NO,5.1,,,37,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8191103,5/2/1994,15,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,5/18/1994,22.75,NO,6.9,,,32,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,5/19/1994,22.5,NO,6.8,,,32,,,DOWN SLIGHTLY FROM LAST READING,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190682,5/27/1994,20.75,NO,6.3,2.31,7,33,43,41,,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/1/1994,16.75,NO,5.1,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/4/1994,21.5,NO,6.5,,,33,,,HOLDING,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/15/1994,15.25,NO,4.6,,,38,,,HIGH-UP SINCE LAST READING,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/30/1994,19.25,NO,5.9,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
1,7/6/1994,,,,1.84,10,,46,39,,,,,,,
8190682,7/6/1994,18.75,NO,5.7,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/10/1994,21.75,NO,6.6,,,33,,,HOLDING,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/17/1994,20,NO,6.1,,,34,,,HIGH (DOWN SLIGHTLY),,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/20/1994,20.75,NO,6.3,,,33,,,,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,8/6/1994,20.5,NO,6.2,1.64,10,34,46,39,DROPPING,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,8/10/1994,14.25,NO,4.3,,,39,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8191103,8/17/1994,18.5,NO,5.6,,,35,,,DROPPING-REGAINING OUR BEACH,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8191103,8/22/1994,15.25,NO,4.6,,,38,,,HOLDING,,,BROWN,2-Very minor aesthetic problems,,
8191103,8/24/1994,12.75,NO,3.9,,,40,,,"4"" HIGHER THAN LAST READING",,CLEAR,BLUE,2-Very minor aesthetic problems,,
8191103,9/7/1994,14,NO,4.3,5.36,11,39,47,47,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,9/14/1994,12.5,NO,3.8,,,41,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8191103,10/2/1994,8,NO,2.4,,,47,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,10/11/1994,10.25,NO,3.1,9.95,17,44,50,52,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8191103,10/26/1994,12,NO,3.6,,,41,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191105,5/2/1995,13,NO,4,,,40,,,"HIGH-UP 5-6"" SINCE LAST FALL",,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191105,5/23/1995,20.25,NO,6.2,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,5/31/1995,20.25,NO,6.2,1.8,8,34,44,39,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191105,6/11/1995,15.5,NO,4.7,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191105,6/21/1995,19,NO,5.8,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191105,7/4/1995,17.5,NO,5.3,,,36,,,"DOWN BY 1"" FROM LAST READING", BUT STILL HIGH,,CLEAR,1-Beautiful,, could not be nicer
8191103,7/11/1995,18.5,NO,5.6,0.01,7,35,43,0,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191105,7/19/1995,18,NO,5.5,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191105,7/24/1995,21.25,NO,6.5,,,33,,,NORMAL,,,,2-Very minor aesthetic problems,,
8191105,8/1/1995,20.25,NO,6.2,,,34,,,NO CHANGE SINCE LAST SAMPLING,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191105,8/4/1995,25,NO,7.6,,,31,,,NORMAL,,CLEAR,,2-Very minor aesthetic problems,,
8191103,8/15/1995,22.5,NO,6.8,1.67,7,32,43,39,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191105,8/22/1995,23.5,NO,7.1,,,32,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8191105,8/27/1995,17.5,NO,5.3,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191105,9/5/1995,19.5,NO,5.9,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,9/11/1995,17.5,NO,5.3,2.57,7,36,43,42,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191105,9/12/1995,18.25,NO,5.5,,,35,,,NORMAL,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8191105,9/21/1995,13.5,NO,4.1,,,40,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191105,10/4/1995,14,NO,4.3,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,10/11/1995,11.75,NO,3.6,4.71,14,42,49,47,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191105,10/25/1995,12.25,NO,3.7,,,41,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,5/20/1996,7.75,NO,2.4,,,48,,,HIGHEST IN 25 YEARS-UP 1' FROM LAST YEAR.,,,BROWN,2-Very minor aesthetic problems,,
8191103,5/29/1996,8.75,NO,2.7,,,46,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8189805,5/30/1996,11,NO,3.3,,,43,,,HIGH,,,BLUE,2-Very minor aesthetic problems,,
8191103,6/5/1996,18.5,NO,5.6,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8189805,6/12/1996,25.5,NO,7.8,,,30,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/12/1996,22,NO,6.7,1.1,8,33,44,36,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/20/1996,22.75,NO,6.9,,,32,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8189805,7/1/1996,21.25,NO,6.5,,,33,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/6/1996,18.5,NO,5.6,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/15/1996,17,NO,5.2,2.4,8,36,44,41,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/25/1996,14.25,NO,4.3,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8189805,7/29/1996,17,NO,5.2,,,36,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,8/8/1996,15,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,8/13/1996,17.5,NO,5.3,1.52,ND*,36,,38,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,8/21/1996,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,8/27/1996,16.5,NO,5,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,9/9/1996,14.25,NO,4.3,1.98,7,39,43,40,,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,10/1/1996,12.25,NO,3.7,,,41,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,10/13/1996,11.5,NO,3.5,4.07,11,42,47,45,"DOWN ABOUT 2"" BUT STILL HIGH",,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,5/10/1997,9.75,NO,3,,28,44,54,,HIGH,,MURKY,BLUE,2-Very minor aesthetic problems,,
8191103,6/2/1997,16.25,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/9/1997,19.25,NO,5.9,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/16/1997,19,NO,5.8,1.43,6,35,42,38,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/26/1997,18,NO,5.5,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/7/1997,18,NO,5.5,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/15/1997,16,NO,4.9,1.31,12,37,47,37,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/23/1997,17.25,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/30/1997,19.5,NO,5.9,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,8/8/1997,19.75,NO,6,,,34,,,DOWN FROM LAST SAMPLING BUT STILL VERY HIGH.,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,8/18/1997,21.5,NO,6.5,1.79,6,33,42,39,HIGH,,,BLUE,1-Beautiful, could not be nicer,
8191103,8/29/1997,20,NO,6.1,,,34,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,9/12/1997,23.25,NO,7.1,,,32,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,9/23/1997,18,NO,5.5,,,35,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,10/10/1997,16.25,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,10/17/1997,11.5,NO,3.5,4.07,12,42,47,45,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,10/24/1997,14.5,NO,4.4,,,39,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,11/7/1997,14,NO,4.3,,,39,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,4/30/1998,18.5,NO,5.6,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,5/19/1998,20,NO,6.1,,7,34,43,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/1/1998,15.5,NO,4.7,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/10/1998,17.5,NO,5.3,,,36,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/22/1998,18.5,NO,5.6,1.31,10,35,46,37,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/4/1998,21.25,NO,6.5,,,33,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/14/1998,21,NO,6.4,,,33,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/28/1998,18.25,NO,5.5,1.21,6,35,42,36,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,8/12/1998,23,NO,7,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,8/24/1998,22.5,NO,6.8,1.14,5,32,41,36,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,10/1/1998,16.25,NO,4.9,,,37,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,10/8/1998,14.75,NO,4.5,6.2,14,38,49,49,LOW,,MURKY,BLUE,1-Beautiful, could not be nicer,
8191103,4/14/1999,13.5,NO,4.1,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,5/2/1999,13.5,NO,4.1,,,40,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,5/18/1999,23.5,NO,7.1,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/17/1999,22.25,NO,6.8,,,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/29/1999,20,NO,6.1,1.13,9,34,45,36,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/10/1999,14,NO,4.3,,,39,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/18/1999,16.5,NO,5,,,37,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/28/1999,18.75,NO,5.7,1.02,6,35,42,35,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,8/10/1999,16.5,NO,5,,,37,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,8/19/1999,18.5,NO,5.6,,,35,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,9/1/1999,21.75,NO,6.6,0.99,6,33,42,35,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,9/11/1999,20,NO,6.1,,,34,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,9/21/1999,14,NO,4.3,,,39,,,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,9/27/1999,11.75,NO,3.6,5,14,42,49,47,NO CHANGE,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,10/9/1999,12.25,NO,3.7,,,41,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,10/26/1999,9,NO,2.7,,,45,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,4/26/2000,9.5,NO,2.9,,,45,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190682,5/23/2000,11,NO,3.3,,,43,,,LOW,,CLEAR,GREEN,1-Beautiful, could not be nicer,
8191103,5/31/2000,23,NO,7,,0,32,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/8/2000,24.5,NO,7.4,,,31,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/29/2000,19.5,NO,5.9,1,10,34,46,35,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/4/2000,19.5,NO,5.9,,,34,,,LOW,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8190682,7/15/2000,17,NO,5.2,,,36,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8191103,7/31/2000,16.75,NO,5.1,1,7,37,43,35,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8190682,8/5/2000,16,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,8/16/2000,22,NO,6.7,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,8/21/2000,20,NO,6.1,,,34,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,8/30/2000,22.25,NO,6.8,1.7,6,32,42,39,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,9/8/2000,15,NO,4.6,,,38,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,9/17/2000,13.25,NO,4,,,40,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,9/24/2000,12.5,NO,3.8,,,41,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,10/1/2000,9.75,NO,3,5,16,44,50,47,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,10/8/2000,11.25,NO,3.4,,,42,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,10/18/2000,11.25,NO,3.4,,,42,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,10/29/2000,15.5,NO,4.7,,,38,,,LOW,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,4/29/2001,8,NO,2.4,,,47,,,HIGH,,MURKY,BLUE,1-Beautiful, could not be nicer,
8191103,5/30/2001,25.25,NO,7.7,,8,31,44,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/11/2001,22.25,NO,6.8,,,32,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/21/2001,16.5,NO,5,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/26/2001,17,NO,5.2,1.2,17,36,50,36,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/5/2001,15,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/7/2001,15.75,NO,4.8,,,37,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8191103,7/18/2001,19.75,NO,6,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/23/2001,21,NO,6.4,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/31/2001,20.25,NO,6.2,2,6,34,42,40,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,8/8/2001,19.25,NO,5.9,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
7000068,8/9/2001,,,,1,6,,42,35,,,,,,,
8188599,8/9/2001,21.5,NO,6.5,,,33,,,,,,,,,
8191103,8/20/2001,20.25,NO,6.2,,,34,,,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,8/27/2001,20.5,NO,6.2,1,7,34,43,35,NORMAL,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,9/12/2001,14.75,NO,4.5,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,9/24/2001,12.25,NO,3.7,,,41,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,10/1/2001,10.5,NO,3.2,8,14,43,49,51,HIGH,,MURKY,BLUE,5-Enjoyment substantially impaired (algae),,
8191103,10/17/2001,9.25,NO,2.8,,,45,,,NORMAL,,MURKY,BLUE,5-Enjoyment substantially impaired (algae),,
8191103,11/3/2001,9,NO,2.7,,,45,,,NORMAL,,MURKY,BLUE,5-Enjoyment substantially impaired (algae),,
8191103,4/30/2002,12,NO,3.6,,,41,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,5/22/2002,14,NO,4.3,,19,39,51,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/17/2002,21.75,NO,6.6,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/26/2002,21,NO,6.4,1.22,9,33,45,36,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/4/2002,18.75,NO,5.7,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/14/2002,12.75,NO,3.9,,,40,,,HIGH,,CLEAR,BLUE,2-Very minor aesthetic problems,,
8191103,7/24/2002,14.5,NO,4.4,1.95,9,39,45,40,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/29/2002,18.5,NO,5.6,,,35,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,8/6/2002,21.75,NO,6.6,,,33,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,8/20/2002,15,NO,4.6,1.99,8,38,44,40,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,9/4/2002,15,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,9/17/2002,16.25,NO,4.9,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,9/27/2002,16.5,NO,5,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,10/9/2002,13.5,NO,4.1,,,40,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,10/28/2002,10.5,NO,3.2,10.9,19,43,51,53,HIGH,,CLEAR,GREEN,1-Beautiful, could not be nicer,
8191103,4/30/2003,15.25,NO,4.6,,,38,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,5/27/2003,22,NO,6.7,,9,33,45,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/9/2003,25.5,NO,7.8,,,30,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,6/30/2003,21,NO,6.4,1.97,9,33,45,40,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/16/2003,16.5,NO,5,,,37,,,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
8191103,7/24/2003,22,NO,6.7,1.58,9,33,45,38,HIGH,,CLEAR,BLUE,1-Beautiful, could not be nicer,
